-0.111,0.002
-0.124,0.005
-0.136,0.007
-0.147,0.009
-0.158,0.010
-0.168,0.011
-0.176,0.012
-0.182,0.012
-0.187,0.012
-0.188,0.012
-0.187,0.012
-0.183,0.012
-0.176,0.012
-0.164,0.011
-0.150,0.010
-0.131,0.009
-0.110,0.007
-0.084,0.006
-0.056,0.004
-0.026,0.002
0.006,-0.000
0.040,-0.003
0.074,-0.005
0.107,-0.007
0.139,-0.009
0.169,-0.011
0.195,-0.013
0.217,-0.015
0.234,-0.016
0.245,-0.017
0.250,-0.018
0.248,-0.018
0.240,-0.017
0.225,-0.016
0.204,-0.015
0.176,-0.013
0.144,-0.011
0.108,-0.008
0.068,-0.005
0.026,-0.002
-0.015,0.001
-0.057,0.004
-0.095,0.007
-0.131,0.010
-0.161,0.012
-0.186,0.014
-0.204,0.016
-0.214,0.017
-0.217,0.017
-0.212,0.017
-0.200,0.016
-0.181,0.015
-0.156,0.013
-0.125,0.011
-0.091,0.009
-0.053,0.006
-0.015,0.003
0.023,-0.000
0.060,-0.003
0.093,-0.006
0.123,-0.008
0.147,-0.011
0.166,-0.012
0.179,-0.014
0.185,-0.014
0.185,-0.015
0.179,-0.014
0.168,-0.014
0.153,-0.012
0.135,-0.011
0.115,-0.009
0.095,-0.008
0.075,-0.006
0.058,-0.004
0.045,-0.003
0.036,-0.001
0.032,-0.000
0.034,-0.000
0.043,-0.000
0.057,-0.001
0.078,-0.001
0.103,-0.003
0.133,-0.005
0.166,-0.007
0.200,-0.009
0.236,-0.012
0.270,-0.014
0.302,-0.017
0.331,-0.019
0.354,-0.021
0.371,-0.023
0.382,-0.024
0.385,-0.025
0.380,-0.025
0.368,-0.024
0.348,-0.023
0.322,-0.021
0.289,-0.019
0.252,-0.017
0.211,-0.014
0.168,-0.011
0.123,-0.008
0.079,-0.004
0.037,-0.001
-0.002,0.002
-0.037,0.005
-0.068,0.007
-0.093,0.009
-0.112,0.010
-0.126,0.011
-0.133,0.012
-0.135,0.012
-0.133,0.012
-0.126,0.011
-0.116,0.010
-0.104,0.009
-0.091,0.008
-0.077,0.006
-0.065,0.005
-0.054,0.003
-0.045,0.002
-0.039,0.001
-0.037,0.001
-0.038,0.000
-0.043,0.000
-0.051,0.000
-0.063,0.001
-0.077,0.002
-0.093,0.003
-0.111,0.004
-0.130,0.005
-0.149,0.007
-0.168,0.008
-0.185,0.009
-0.201,0.011
-0.215,0.012
-0.225,0.013
-0.233,0.013
-0.238,0.014
-0.240,0.014
-0.239,0.014
-0.235,0.014
-0.228,0.014
-0.220,0.013
-0.209,0.012
-0.197,0.011
-0.184,0.010
-0.170,0.009
-0.157,0.008
